registered_postcode,mean_age,total_vehicles
2706,13.6,579
2707,11.11,669
2710,12.15,4932
2711,12.33,1497
2712,12.68,617
2713,12.37,1376
2714,12.91,1435
2715,12.48,543
2716,12.13,505
2717,14.01,440
2720,12.57,4503
2721,12.95,101
2722,12.83,1589
2725,13.43,178
2726,10.14,136
2727,10.97,152
2729,12.81,947
2730,14.26,679
2731,10.99,3199
2732,12.14,835
2733,13.63,289
2734,10.86,151
2735,12.73,146
2736,13.82,120
2737,12.93,328
2738,10.46,924
2739,12.75,500
2745,10.39,18897
2747,10.82,30316
2748,13.25,1219
2749,11.61,9650
2750,10.28,31176
2752,12.71,4243
2753,12.86,10410
2754,11.37,4865
2756,12.09,21202
2757,13.59,563
2758,12.99,5672
2759,11.5,15570
2760,11.76,20707
2761,11.08,20288
2762,9.1,13656
2763,10.64,18800
2765,9.42,38880
2766,11.38,9394
2767,11.64,12640
2768,9.56,15626
2769,8.28,9052
2770,12.86,31227
2773,11.07,3851
2774,11.59,8048
2775,14.6,910
2776,11.82,2698
2777,11.9,11279
2778,12.72,1570
2779,12.44,3083
2780,12.8,8024
2782,11.87,4003
2783,12.83,1740
2784,12.3,817
2785,13.16,2974
2786,14.37,753
2787,13.51,2542
2790,13.52,8813
2791,13.99,214
2792,13.68,212
2793,14.31,616
2794,12.74,5541
2795,11.62,26590
2797,13.87,199
2798,11.79,1224
2799,12.58,2368
2800,11.25,28176
2803,12.86,167
2804,13.18,1474
2805,15.06,221
2806,13.0,421
2807,15.35,249
2808,15.67,144
2809,16.7,146
2810,12.94,1599
2818,12.57,407
2820,13.0,3310
2821,11.88,2303
2822,13.76,176
2823,12.56,620
2824,12.35,979
2825,12.1,1080
2827,12.69,1811
2828,13.19,328
2829,12.23,1425
2830,10.88,25030
2831,13.07,1050
2832,12.63,1009
2833,12.47,193
2834,16.1,1081
2835,11.83,1545
2836,14.46,239
2839,12.51,364
2840,11.39,940
2842,11.42,530
2843,14.28,590
2844,12.42,646
2845,12.32,1085
2846,15.55,239
2847,14.61,1344
2848,17.47,959
2849,14.26,935
2850,12.43,10707
2852,13.7,1906
2864,11.71,443
2865,12.53,512
2866,12.02,1609
2867,13.96,267
2868,13.05,321
2869,13.73,736
2870,12.24,5948
2871,12.34,4403
2873,13.65,356
2874,12.7,210
2875,13.75,392
2876,13.35,254
2877,11.52,1598
2878,12.35,142
2879,14.54,203
2880,12.07,8585
2898,12.35,154
2900,10.42,3287
2902,12.47,9984
2903,11.92,5898
2904,11.61,8336
2905,12.17,17459
2906,11.3,10964
2911,9.15,3260
2912,10.66,4890
2913,10.44,25966
2914,9.82,19360
3000,5.58,27015
3002,6.86,5785
3003,9.97,3371
3004,9.52,6868
3006,7.64,12132
3008,8.23,7000
3011,11.36,12073
3012,11.73,17128
3013,11.16,8563
3015,11.11,10968
3016,11.23,10829
3018,11.7,8605
3019,11.94,6143
3020,12.58,27726
3021,13.33,32014
3022,13.04,2263
3023,11.21,40857
3024,10.93,22990
3025,9.26,12057
3026,9.1,5379
3027,9.77,5755
3028,11.76,18232
3029,10.81,91555
3030,10.66,75324
3031,11.47,9250
3032,10.92,17280
3033,11.47,10184
3034,11.94,7516
3036,11.48,4158
3037,11.52,31617
3038,11.83,18083
3039,9.79,10493
3040,10.72,16739
3041,9.57,10940
3042,11.03,11553
3043,7.33,23364
3044,11.58,16911
3045,6.69,281
3046,12.13,21496
3047,13.36,12058
3048,13.38,10784
3049,11.74,6377
3051,10.9,6475
3052,10.5,2610
3053,11.19,5124
3054,11.82,3986
3055,12.65,7622
3056,10.52,15109
3057,12.17,6660
3058,12.04,20887
3059,10.9,15497
3060,12.96,9099
3061,10.65,6444
3062,8.22,557
3063,14.54,402
3064,11.17,78095
3065,11.69,5040
3066,10.29,5259
3067,10.6,4495
3068,12.01,9506
3070,11.83,13627
3071,12.46,10289
3072,11.54,22211
3073,12.7,29592
3074,12.47,14463
3075,13.04,13948
3076,11.48,21516
3078,10.71,8560
3079,10.98,11578
3081,11.97,9167
3082,11.96,18578
3083,11.54,20242
3084,10.97,17139
3085,11.12,8300
3087,11.89,5384
3088,11.3,17214
3089,11.35,8135
3090,11.18,1777
3091,13.38,1196
3093,11.07,2677
3094,11.54,5632
3095,11.21,18834
3096,12.56,1180
3097,13.8,1090
3099,13.22,3048
3101,10.22,15672
3102,10.7,4399
3103,9.85,10369
3104,10.1,13926
3105,11.24,7473
3106,10.62,11755
3107,10.96,9153
3108,9.47,19229
3109,10.38,19908
3111,11.0,8763
3113,11.88,6000
3114,12.01,2815
3115,11.93,2759
3116,11.32,7612
3121,9.06,20659
3122,10.57,13550
3123,9.61,9427
3124,10.04,14696
3125,10.53,9900
3126,10.25,5385
3127,10.56,12497
3128,10.64,13508
3129,10.83,10814
3130,10.85,22077
3131,10.97,15558
3132,10.93,11012
3133,10.85,15534
3134,11.07,23920
3135,11.62,12705
3136,11.38,29657
3137,12.13,9862
3138,11.83,14022
3139,13.99,8888
3140,11.5,12351
3141,10.4,12373
3142,10.58,9483
3143,10.3,5881
3144,9.32,7841
3145,10.51,14191
3146,10.29,16320
3147,10.8,9247
3148,11.11,6233
3149,10.41,24411
3150,10.65,41290
3151,10.75,7770
3152,10.9,23192
3153,11.63,15290
3154,12.93,2856
3155,12.49,15136
3156,11.63,26513
3158,13.0,4340
3159,13.06,1666
3160,13.01,5735
3161,10.09,10008
3162,10.46,12042
3163,11.06,19297
3164,7.34,185
3165,10.78,18715
3166,11.41,16204
3167,11.79,6872
3168,10.77,13714
3169,12.31,13332
3170,7.87,21701
3171,12.85,14315
3172,12.31,15211
3173,10.94,21880
3174,13.14,24167
3175,11.08,42700
3177,13.59,7289
3178,10.79,23724
3179,11.11,4468
3180,10.89,6196
3181,10.69,10077
3182,12.11,11846
3183,11.85,8783
3184,11.29,8806
3185,10.03,8556
3186,10.12,17047
3187,10.11,11154
3188,10.84,12102
3189,10.73,6269
3190,10.85,7606
3191,10.54,7190
3192,11.01,16525
3193,10.57,14075
3194,11.09,8918
3195,10.89,25159
3196,11.16,16303
3197,11.3,8019
3198,12.24,11423
3199,11.57,36068
3200,14.82,2880
3201,11.67,15027
3202,11.03,1909
3204,10.44,20450
3205,5.42,18112
3206,10.36,6284
3207,9.45,13817
3211,15.03,890
3212,11.76,13151
3213,12.49,2610
3214,14.24,13893
3215,12.4,14387
3216,11.63,37827
3217,10.13,18318
3218,11.08,9190
3219,13.31,12235
3220,9.96,13627
3221,13.53,2386
3222,12.23,12295
3223,12.36,8260
3224,12.16,9770
3225,10.75,4627
3226,11.11,12215
3227,10.53,3709
3228,10.89,16046
3230,12.24,2501
3231,12.04,1371
3232,13.18,1167
3233,13.69,1619
3234,14.87,177
3235,12.74,332
3236,15.94,177
3237,12.83,161
3238,14.78,227
3239,14.87,308
3240,13.22,1457
3241,13.38,1984
3242,12.78,590
3243,15.16,290
3249,15.02,2011
3250,13.16,7916
3251,15.06,400
3254,15.51,230
3260,13.49,3055
3264,14.06,1526
3265,14.38,1656
3266,13.94,1974
3267,16.23,133
3268,13.78,1741
3269,14.9,408
3270,12.25,228
3271,16.83,103
3272,14.96,1041
3273,14.49,111
3274,15.34,151
3275,17.35,284
3276,15.69,247
3277,13.9,1125
3278,17.0,216
3279,13.13,182
3280,11.96,22430
3281,13.17,1146
3282,12.92,1708
3283,13.57,866
3284,12.72,2488
3285,13.89,822
3286,13.18,350
3287,15.77,266
3289,13.49,467
3293,13.08,197
3294,12.9,602
3300,13.47,6597
3301,14.68,739
3302,13.57,246
3303,13.21,147
3304,14.41,1590
3305,13.96,8475
3310,15.15,197
3311,14.68,1056
3312,13.87,446
3314,14.29,278
3315,15.48,1017
3317,11.4,105
3318,14.53,708
3319,16.05,220
3321,12.79,1075
3322,12.93,138
3324,14.94,335
3325,14.2,330
3328,12.9,1423
3329,14.79,195
3330,15.19,145
3331,12.1,4415
3332,14.84,805
3333,15.05,545
3334,15.76,354
3335,10.57,10336
3336,9.68,18495
3337,12.42,25185
3338,11.47,25763
3340,12.21,16986
3341,14.62,1159
3342,13.46,2524
3345,12.93,868
3350,11.91,43113
3351,14.23,6195
3352,13.22,12225
3355,11.68,9672
3356,13.79,9571
3357,12.08,2451
3358,11.49,3663
3360,16.19,560
3361,14.75,433
3363,13.92,2280
3364,13.99,1470
3370,15.49,1295
3371,16.9,780
3373,14.58,1685
3374,13.49,307
3375,15.52,180
3377,13.59,5287
3378,13.34,132
3379,13.94,462
3380,14.35,3867
3381,14.16,833
3384,16.22,414
3385,16.83,345
3387,15.85,234
3388,14.66,372
3390,14.55,562
3391,17.22,110
3392,14.17,412
3393,13.71,1619
3395,15.4,284
3396,14.82,454
3400,12.64,9416
3401,14.2,2700
3407,12.99,287
3409,14.98,565
3412,15.68,221
3413,12.28,118
3414,15.49,1079
3418,14.38,1704
3419,14.33,510
3420,13.71,156
3423,17.73,279
3424,14.82,547
3427,11.23,4466
3428,15.01,488
3429,11.66,26417
3430,15.36,200
3431,12.9,3007
3432,14.86,182
3433,18.0,164
3434,13.05,4010
3435,13.39,2234
3437,11.31,8245
3438,12.06,1799
3440,12.75,1412
3441,13.51,1071
3442,12.39,5908
3444,13.36,6735
3446,13.9,769
3447,15.06,289
3448,14.76,690
3450,14.64,4733
3451,14.66,3902
3453,14.69,1340
3458,13.2,1676
3460,13.57,2082
3461,13.84,3307
3462,16.06,843
3463,15.91,1915
3464,15.68,775
