POA_CODE21,lon,lat
2089,151.2184578336714,-33.835481856666945
2090,151.2253862076638,-33.82856171489933
2092,151.24165359485397,-33.78604696228197
2093,151.25895192632058,-33.79026416950776
2094,151.27353203700008,-33.79517585566663
2095,151.2805256895943,-33.79013099263968
2096,151.28838327155975,-33.774255013793905
2097,151.2890383033334,-33.7315237433333
2099,151.2645318274479,-33.73753485815122
2100,151.2573328403135,-33.76527970130353
2101,151.2633359336006,-33.69421952199752
2102,151.29577080313604,-33.68906511212546
2103,151.30383524842986,-33.67594672797991
2104,151.28901688614155,-33.66373696587861
2105,151.27817884500007,-33.65710156499997
2106,151.3158706646599,-33.65545630950964
2107,151.32616644790406,-33.632623390823426
2108,151.32642965133337,-33.60918088599993
2110,151.13635590300007,-33.8221272666666
2111,151.1285755213714,-33.8266600868245
2112,151.1091762698289,-33.81066323694973
2113,151.1303194808513,-33.78886850157124
2114,151.07905251146835,-33.80801264125612
2115,151.05883687220322,-33.811684608531564
2116,151.0402761209198,-33.81340565068251
2117,151.0420710705079,-33.797159570084254
2118,151.04833507164918,-33.7754437270969
2119,151.06549926734309,-33.75289586121161
2120,151.0761681011175,-33.72673548556723
2121,151.0838193679877,-33.768203332212025
2122,151.0955428302813,-33.78226849782669
2125,151.03409307352902,-33.74730783342466
2126,151.0467638743242,-33.72181286417745
2127,151.06394175503496,-33.84156835914765
2128,151.0428327978274,-33.83410802294279
2130,151.13899150890214,-33.89307334376723
2131,151.12753758714064,-33.88998320345207
2132,151.11566308639152,-33.88068444476382
2133,151.10490452713793,-33.897495869617224
2134,151.10379770987464,-33.8777893264809
2135,151.0801980814203,-33.875675576014494
2136,151.08632446437562,-33.89318125080535
2137,151.0995830809245,-33.85742313218665
2138,151.08771826851654,-33.8449591242801
2140,151.07532756624207,-33.85994665464387
2141,151.04637012235153,-33.86757526753568
2142,151.01724740411845,-33.836728804610864
2143,151.0249245921015,-33.887104930687094
2144,151.0275725042811,-33.85716103390084
2145,150.9578819561414,-33.81339401799054
2146,150.9521097346402,-33.788456501607094
2147,150.93766081118736,-33.767020650704524
2148,150.89935811375523,-33.787108734493344
2150,151.00695920898036,-33.813349616637446
2151,151.01405876002474,-33.78347742901334
2152,150.99224760463738,-33.7846420243143
2153,150.9737820036336,-33.75313243652943
2154,150.99898850694734,-33.72581650096832
2155,150.93644172111507,-33.69320482045519
2156,150.97230686065467,-33.6524124363242
2157,151.03307906570151,-33.54000987192891
2158,151.03824945397017,-33.674089491165184
2159,151.08050027257792,-33.58720464265224
2160,150.9851374641786,-33.83761037671942
2161,150.98293304723924,-33.85653107857494
2162,151.00145081949776,-33.88176554819732
2163,150.9769417419617,-33.888811777767444
2164,150.9184451973344,-33.84286173687808
2165,150.9485208006851,-33.86883348425039
2166,150.93646491567534,-33.89313447789075
2167,150.89690908827637,-33.97151553541565
2168,150.86687848811047,-33.91195135776082
2170,150.91693420602905,-33.93347007246963
2171,150.843372229876,-33.91637796206089
2172,150.98027558750178,-33.96393288368424
2173,150.91839386532095,-34.06248775347996
2174,150.85460648210983,-33.963772021211824
2175,150.84620687364742,-33.83952291564143
2176,150.8838524585745,-33.86939846018656
2177,150.8794487797161,-33.893396766130444
2178,150.79937331599385,-33.87201959121887
2179,150.8044670636282,-33.95519540889566
2190,151.05650954477883,-33.90054801918504
2191,151.08673843912936,-33.906066560012164
2192,151.08846398799648,-33.919357642933186
2193,151.1192534000004,-33.9096673646145
2194,151.1008978174713,-33.91317300913696
2195,151.07581997933337,-33.916644908333296
2196,151.0619771222899,-33.92984104545733
2197,150.9977749475022,-33.89994081501625
2198,150.98752456339474,-33.90976397671899
2199,151.0210667850562,-33.90285132252642
2200,151.01521930488911,-33.92195957853144
2203,151.1385102147336,-33.90408190933797
2204,151.15588357570908,-33.911348074634525
2205,151.14696097573028,-33.9367794681724
2206,151.1258086234031,-33.92551341853332
2207,151.11993362094688,-33.94864291791349
2208,151.09784593416416,-33.93973770036513
2209,151.07845603527653,-33.947092752374395
2210,151.0583646895631,-33.95531713864765
2211,151.03112839472607,-33.946374995874756
2212,151.0136982640398,-33.94831839511218
2213,150.99937158316354,-33.96384292072402
2214,150.98639470443095,-33.940441302521386
2216,151.14896059462845,-33.952833682918396
2217,151.13654310795377,-33.972987309535206
2218,151.11699845996685,-33.970007043666676
2219,151.13756428007576,-33.99290669039238
2220,151.09730022444893,-33.9656596073094
2221,151.10859208940914,-33.981340215312564
2222,151.08219255612727,-33.96399108306115
2223,151.0748178003356,-33.97362125657238
2224,151.10285783534192,-34.01885722965555
