"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"1946","Light commercial vehicles","Battery/Fuel-cell electric",0
"1947","Light commercial vehicles","Battery/Fuel-cell electric",0
"1948","Light commercial vehicles","Battery/Fuel-cell electric",0
"1949","Light commercial vehicles","Battery/Fuel-cell electric",0
"1950","Light commercial vehicles","Battery/Fuel-cell electric",0
"1951","Light commercial vehicles","Battery/Fuel-cell electric",0
"1952","Light commercial vehicles","Battery/Fuel-cell electric",0
"1953","Light commercial vehicles","Battery/Fuel-cell electric",0
"1954","Light commercial vehicles","Battery/Fuel-cell electric",0
"1955","Light commercial vehicles","Battery/Fuel-cell electric",0
"1956","Light commercial vehicles","Battery/Fuel-cell electric",0
"1957","Light commercial vehicles","Battery/Fuel-cell electric",0
"1958","Light commercial vehicles","Battery/Fuel-cell electric",0
"1959","Light commercial vehicles","Battery/Fuel-cell electric",0
"1960","Light commercial vehicles","Battery/Fuel-cell electric",0
"1961","Light commercial vehicles","Battery/Fuel-cell electric",0
"1962","Light commercial vehicles","Battery/Fuel-cell electric",0
"1963","Light commercial vehicles","Battery/Fuel-cell electric",0
"1964","Light commercial vehicles","Battery/Fuel-cell electric",0
"1965","Light commercial vehicles","Battery/Fuel-cell electric",0
"1966","Light commercial vehicles","Battery/Fuel-cell electric",0
"1967","Light commercial vehicles","Battery/Fuel-cell electric",0
"1968","Light commercial vehicles","Battery/Fuel-cell electric",3
"1969","Light commercial vehicles","Battery/Fuel-cell electric",0
"1970","Light commercial vehicles","Battery/Fuel-cell electric",3
"1971","Light commercial vehicles","Battery/Fuel-cell electric",0
"1972","Light commercial vehicles","Battery/Fuel-cell electric",0
"1973","Light commercial vehicles","Battery/Fuel-cell electric",3
"1974","Light commercial vehicles","Battery/Fuel-cell electric",4
"1975","Light commercial vehicles","Battery/Fuel-cell electric",0
"1976","Light commercial vehicles","Battery/Fuel-cell electric",0
"1977","Light commercial vehicles","Battery/Fuel-cell electric",3
"1978","Light commercial vehicles","Battery/Fuel-cell electric",0
"1979","Light commercial vehicles","Battery/Fuel-cell electric",0
"1980","Light commercial vehicles","Battery/Fuel-cell electric",0
"1981","Light commercial vehicles","Battery/Fuel-cell electric",3
"1982","Light commercial vehicles","Battery/Fuel-cell electric",0
"1983","Light commercial vehicles","Battery/Fuel-cell electric",0
"1984","Light commercial vehicles","Battery/Fuel-cell electric",0
"1985","Light commercial vehicles","Battery/Fuel-cell electric",3
"1986","Light commercial vehicles","Battery/Fuel-cell electric",0
"1987","Light commercial vehicles","Battery/Fuel-cell electric",0
"1988","Light commercial vehicles","Battery/Fuel-cell electric",0
"1989","Light commercial vehicles","Battery/Fuel-cell electric",0
"1990","Light commercial vehicles","Battery/Fuel-cell electric",0
"1991","Light commercial vehicles","Battery/Fuel-cell electric",3
"1992","Light commercial vehicles","Battery/Fuel-cell electric",0
"1993","Light commercial vehicles","Battery/Fuel-cell electric",3
"1994","Light commercial vehicles","Battery/Fuel-cell electric",0
"1995","Light commercial vehicles","Battery/Fuel-cell electric",0
"1996","Light commercial vehicles","Battery/Fuel-cell electric",3
"1997","Light commercial vehicles","Battery/Fuel-cell electric",0
"1998","Light commercial vehicles","Battery/Fuel-cell electric",0
"1999","Light commercial vehicles","Battery/Fuel-cell electric",0
"2000","Light commercial vehicles","Battery/Fuel-cell electric",3
"2001","Light commercial vehicles","Battery/Fuel-cell electric",0
"2002","Light commercial vehicles","Battery/Fuel-cell electric",0
"2003","Light commercial vehicles","Battery/Fuel-cell electric",3
"2004","Light commercial vehicles","Battery/Fuel-cell electric",3
"2005","Light commercial vehicles","Battery/Fuel-cell electric",4
"2006","Light commercial vehicles","Battery/Fuel-cell electric",3
"2007","Light commercial vehicles","Battery/Fuel-cell electric",0
"2008","Light commercial vehicles","Battery/Fuel-cell electric",3
"2009","Light commercial vehicles","Battery/Fuel-cell electric",5
"2010","Light commercial vehicles","Battery/Fuel-cell electric",3
"2011","Light commercial vehicles","Battery/Fuel-cell electric",6
"2012","Light commercial vehicles","Battery/Fuel-cell electric",10
"2013","Light commercial vehicles","Battery/Fuel-cell electric",9
"2014","Light commercial vehicles","Battery/Fuel-cell electric",14
"2015","Light commercial vehicles","Battery/Fuel-cell electric",17
"2016","Light commercial vehicles","Battery/Fuel-cell electric",10
"2017","Light commercial vehicles","Battery/Fuel-cell electric",17
"2018","Light commercial vehicles","Battery/Fuel-cell electric",22
"2019","Light commercial vehicles","Battery/Fuel-cell electric",46
"2020","Light commercial vehicles","Battery/Fuel-cell electric",33
"2021","Light commercial vehicles","Battery/Fuel-cell electric",126
"2022","Light commercial vehicles","Battery/Fuel-cell electric",151
"2023","Light commercial vehicles","Battery/Fuel-cell electric",366
"2024","Light commercial vehicles","Battery/Fuel-cell electric",68
"2025","Light commercial vehicles","Battery/Fuel-cell electric",0
"Not stated","Light commercial vehicles","Battery/Fuel-cell electric",0
"1901","Light commercial vehicles","Other",0
"1902","Light commercial vehicles","Other",0
"1903","Light commercial vehicles","Other",0
"1904","Light commercial vehicles","Other",0
"1905","Light commercial vehicles","Other",0
"1906","Light commercial vehicles","Other",0
"1907","Light commercial vehicles","Other",0
"1908","Light commercial vehicles","Other",0
"1909","Light commercial vehicles","Other",0
"1910","Light commercial vehicles","Other",0
"1911","Light commercial vehicles","Other",0
"1912","Light commercial vehicles","Other",0
"1913","Light commercial vehicles","Other",0
"1914","Light commercial vehicles","Other",0
"1915","Light commercial vehicles","Other",0
"1916","Light commercial vehicles","Other",0
"1917","Light commercial vehicles","Other",0
"1918","Light commercial vehicles","Other",0
"1919","Light commercial vehicles","Other",0
"1920","Light commercial vehicles","Other",0
"1921","Light commercial vehicles","Other",0
"1922","Light commercial vehicles","Other",0
"1923","Light commercial vehicles","Other",0
"1924","Light commercial vehicles","Other",0
"1925","Light commercial vehicles","Other",0
"1926","Light commercial vehicles","Other",0
"1927","Light commercial vehicles","Other",3
"1928","Light commercial vehicles","Other",6
"1929","Light commercial vehicles","Other",3
"1930","Light commercial vehicles","Other",3
"1931","Light commercial vehicles","Other",0
"1932","Light commercial vehicles","Other",3
"1933","Light commercial vehicles","Other",0
"1934","Light commercial vehicles","Other",0
"1935","Light commercial vehicles","Other",0
"1936","Light commercial vehicles","Other",4
"1937","Light commercial vehicles","Other",5
"1938","Light commercial vehicles","Other",3
"1939","Light commercial vehicles","Other",0
"1940","Light commercial vehicles","Other",3
"1941","Light commercial vehicles","Other",0
"1942","Light commercial vehicles","Other",5
"1943","Light commercial vehicles","Other",0
"1944","Light commercial vehicles","Other",0
"1945","Light commercial vehicles","Other",0
"1946","Light commercial vehicles","Other",3
"1947","Light commercial vehicles","Other",0
"1948","Light commercial vehicles","Other",7
"1949","Light commercial vehicles","Other",3
"1950","Light commercial vehicles","Other",0
"1951","Light commercial vehicles","Other",7
"1952","Light commercial vehicles","Other",4
"1953","Light commercial vehicles","Other",3
"1954","Light commercial vehicles","Other",10
"1955","Light commercial vehicles","Other",5
"1956","Light commercial vehicles","Other",6
"1957","Light commercial vehicles","Other",3
"1958","Light commercial vehicles","Other",6
"1959","Light commercial vehicles","Other",3
"1960","Light commercial vehicles","Other",0
"1961","Light commercial vehicles","Other",3
"1962","Light commercial vehicles","Other",4
"1963","Light commercial vehicles","Other",4
"1964","Light commercial vehicles","Other",6
"1965","Light commercial vehicles","Other",4
"1966","Light commercial vehicles","Other",10
"1967","Light commercial vehicles","Other",8
"1968","Light commercial vehicles","Other",5
"1969","Light commercial vehicles","Other",13
"1970","Light commercial vehicles","Other",7
"1971","Light commercial vehicles","Other",24
"1972","Light commercial vehicles","Other",28
"1973","Light commercial vehicles","Other",31
"1974","Light commercial vehicles","Other",44
"1975","Light commercial vehicles","Other",53
"1976","Light commercial vehicles","Other",66
"1977","Light commercial vehicles","Other",106
"1978","Light commercial vehicles","Other",125
"1979","Light commercial vehicles","Other",94
"1980","Light commercial vehicles","Other",44
"1981","Light commercial vehicles","Other",80
"1982","Light commercial vehicles","Other",68
"1983","Light commercial vehicles","Other",57
"1984","Light commercial vehicles","Other",83
"1985","Light commercial vehicles","Other",60
"1986","Light commercial vehicles","Other",37
"1987","Light commercial vehicles","Other",29
"1988","Light commercial vehicles","Other",69
"1989","Light commercial vehicles","Other",85
"1990","Light commercial vehicles","Other",80
"1991","Light commercial vehicles","Other",68
"1992","Light commercial vehicles","Other",56
"1993","Light commercial vehicles","Other",57
"1994","Light commercial vehicles","Other",91
"1995","Light commercial vehicles","Other",76
"1996","Light commercial vehicles","Other",91
"1997","Light commercial vehicles","Other",104
"1998","Light commercial vehicles","Other",96
"1999","Light commercial vehicles","Other",118
"2000","Light commercial vehicles","Other",406
"2001","Light commercial vehicles","Other",797
"2002","Light commercial vehicles","Other",606
"2003","Light commercial vehicles","Other",113
"2004","Light commercial vehicles","Other",368
"2005","Light commercial vehicles","Other",1290
"2006","Light commercial vehicles","Other",2647
"2007","Light commercial vehicles","Other",2405
"2008","Light commercial vehicles","Other",3274
"2009","Light commercial vehicles","Other",2547
"2010","Light commercial vehicles","Other",2444
"2011","Light commercial vehicles","Other",503
"2012","Light commercial vehicles","Other",1949
"2013","Light commercial vehicles","Other",1178
"2014","Light commercial vehicles","Other",771
"2015","Light commercial vehicles","Other",564
"2016","Light commercial vehicles","Other",408
"2017","Light commercial vehicles","Other",4
"2018","Light commercial vehicles","Other",0
"2019","Light commercial vehicles","Other",0
"2020","Light commercial vehicles","Other",3
"2021","Light commercial vehicles","Other",3
"2022","Light commercial vehicles","Other",6
"2023","Light commercial vehicles","Other",3
"2024","Light commercial vehicles","Other",0
"2025","Light commercial vehicles","Other",0
"Not stated","Light commercial vehicles","Other",0
"1901","Light rigid trucks","Petrol",0
"1902","Light rigid trucks","Petrol",0
"1903","Light rigid trucks","Petrol",0
"1904","Light rigid trucks","Petrol",0
"1905","Light rigid trucks","Petrol",0
"1906","Light rigid trucks","Petrol",0
"1907","Light rigid trucks","Petrol",0
"1908","Light rigid trucks","Petrol",0
"1909","Light rigid trucks","Petrol",0
"1910","Light rigid trucks","Petrol",0
"1911","Light rigid trucks","Petrol",0
"1912","Light rigid trucks","Petrol",0
"1913","Light rigid trucks","Petrol",0
"1914","Light rigid trucks","Petrol",0
"1915","Light rigid trucks","Petrol",0
"1916","Light rigid trucks","Petrol",0
"1917","Light rigid trucks","Petrol",0
"1918","Light rigid trucks","Petrol",0
"1919","Light rigid trucks","Petrol",0
"1920","Light rigid trucks","Petrol",0
"1921","Light rigid trucks","Petrol",0
"1922","Light rigid trucks","Petrol",3
"1923","Light rigid trucks","Petrol",0
"1924","Light rigid trucks","Petrol",0
"1925","Light rigid trucks","Petrol",0
"1926","Light rigid trucks","Petrol",3
"1927","Light rigid trucks","Petrol",0
"1928","Light rigid trucks","Petrol",3
"1929","Light rigid trucks","Petrol",3
"1930","Light rigid trucks","Petrol",0
"1931","Light rigid trucks","Petrol",0
"1932","Light rigid trucks","Petrol",3
"1933","Light rigid trucks","Petrol",3
"1934","Light rigid trucks","Petrol",3
"1935","Light rigid trucks","Petrol",0
"1936","Light rigid trucks","Petrol",3
"1937","Light rigid trucks","Petrol",0
"1938","Light rigid trucks","Petrol",0
"1939","Light rigid trucks","Petrol",5
"1940","Light rigid trucks","Petrol",3
"1941","Light rigid trucks","Petrol",3
"1942","Light rigid trucks","Petrol",10
"1943","Light rigid trucks","Petrol",3
"1944","Light rigid trucks","Petrol",6
"1945","Light rigid trucks","Petrol",3
"1946","Light rigid trucks","Petrol",5
"1947","Light rigid trucks","Petrol",3
"1948","Light rigid trucks","Petrol",4
"1949","Light rigid trucks","Petrol",5
"1950","Light rigid trucks","Petrol",4
"1951","Light rigid trucks","Petrol",7
"1952","Light rigid trucks","Petrol",4
"1953","Light rigid trucks","Petrol",10
"1954","Light rigid trucks","Petrol",7
"1955","Light rigid trucks","Petrol",6
"1956","Light rigid trucks","Petrol",6
"1957","Light rigid trucks","Petrol",7
"1958","Light rigid trucks","Petrol",4
"1959","Light rigid trucks","Petrol",3
"1960","Light rigid trucks","Petrol",6
"1961","Light rigid trucks","Petrol",4
"1962","Light rigid trucks","Petrol",5
"1963","Light rigid trucks","Petrol",0
"1964","Light rigid trucks","Petrol",11
"1965","Light rigid trucks","Petrol",20
"1966","Light rigid trucks","Petrol",17
"1967","Light rigid trucks","Petrol",24
"1968","Light rigid trucks","Petrol",28
"1969","Light rigid trucks","Petrol",20
"1970","Light rigid trucks","Petrol",27
"1971","Light rigid trucks","Petrol",31
"1972","Light rigid trucks","Petrol",34
"1973","Light rigid trucks","Petrol",30
"1974","Light rigid trucks","Petrol",68
"1975","Light rigid trucks","Petrol",49
"1976","Light rigid trucks","Petrol",89
"1977","Light rigid trucks","Petrol",85
"1978","Light rigid trucks","Petrol",97
"1979","Light rigid trucks","Petrol",74
"1980","Light rigid trucks","Petrol",46
"1981","Light rigid trucks","Petrol",42
"1982","Light rigid trucks","Petrol",55
"1983","Light rigid trucks","Petrol",29
"1984","Light rigid trucks","Petrol",56
"1985","Light rigid trucks","Petrol",48
"1986","Light rigid trucks","Petrol",67
"1987","Light rigid trucks","Petrol",60
"1988","Light rigid trucks","Petrol",96
"1989","Light rigid trucks","Petrol",93
"1990","Light rigid trucks","Petrol",68
"1991","Light rigid trucks","Petrol",73
"1992","Light rigid trucks","Petrol",83
"1993","Light rigid trucks","Petrol",55
"1994","Light rigid trucks","Petrol",60
"1995","Light rigid trucks","Petrol",55
"1996","Light rigid trucks","Petrol",76
"1997","Light rigid trucks","Petrol",64
"1998","Light rigid trucks","Petrol",84
"1999","Light rigid trucks","Petrol",74
"2000","Light rigid trucks","Petrol",90
"2001","Light rigid trucks","Petrol",199
"2002","Light rigid trucks","Petrol",293
"2003","Light rigid trucks","Petrol",106
"2004","Light rigid trucks","Petrol",199
"2005","Light rigid trucks","Petrol",144
"2006","Light rigid trucks","Petrol",225
"2007","Light rigid trucks","Petrol",98
"2008","Light rigid trucks","Petrol",54
"2009","Light rigid trucks","Petrol",38
"2010","Light rigid trucks","Petrol",42
"2011","Light rigid trucks","Petrol",34
"2012","Light rigid trucks","Petrol",33
"2013","Light rigid trucks","Petrol",45
"2014","Light rigid trucks","Petrol",30
"2015","Light rigid trucks","Petrol",32
"2016","Light rigid trucks","Petrol",45
"2017","Light rigid trucks","Petrol",46
"2018","Light rigid trucks","Petrol",61
"2019","Light rigid trucks","Petrol",57
"2020","Light rigid trucks","Petrol",78
"2021","Light rigid trucks","Petrol",226
"2022","Light rigid trucks","Petrol",515
"2023","Light rigid trucks","Petrol",877
"2024","Light rigid trucks","Petrol",406
"2025","Light rigid trucks","Petrol",17
"Not stated","Light rigid trucks","Petrol",0
"1901","Light rigid trucks","Diesel",0
"1902","Light rigid trucks","Diesel",0
"1903","Light rigid trucks","Diesel",0
"1904","Light rigid trucks","Diesel",0
"1905","Light rigid trucks","Diesel",0
"1906","Light rigid trucks","Diesel",0
"1907","Light rigid trucks","Diesel",0
"1908","Light rigid trucks","Diesel",0
"1909","Light rigid trucks","Diesel",0
"1910","Light rigid trucks","Diesel",0
"1911","Light rigid trucks","Diesel",0
"1912","Light rigid trucks","Diesel",0
"1913","Light rigid trucks","Diesel",0
"1914","Light rigid trucks","Diesel",0
"1915","Light rigid trucks","Diesel",0
"1916","Light rigid trucks","Diesel",0
"1917","Light rigid trucks","Diesel",0
"1918","Light rigid trucks","Diesel",0
"1919","Light rigid trucks","Diesel",0
"1920","Light rigid trucks","Diesel",0
"1921","Light rigid trucks","Diesel",0
"1922","Light rigid trucks","Diesel",0
"1923","Light rigid trucks","Diesel",0
"1924","Light rigid trucks","Diesel",0
"1925","Light rigid trucks","Diesel",0
"1926","Light rigid trucks","Diesel",0
"1927","Light rigid trucks","Diesel",0
"1928","Light rigid trucks","Diesel",0
"1929","Light rigid trucks","Diesel",0
"1930","Light rigid trucks","Diesel",0
"1931","Light rigid trucks","Diesel",0
"1932","Light rigid trucks","Diesel",0
"1933","Light rigid trucks","Diesel",0
"1934","Light rigid trucks","Diesel",0
"1935","Light rigid trucks","Diesel",0
"1936","Light rigid trucks","Diesel",0
"1937","Light rigid trucks","Diesel",0
"1938","Light rigid trucks","Diesel",0
"1939","Light rigid trucks","Diesel",0
"1940","Light rigid trucks","Diesel",0
"1941","Light rigid trucks","Diesel",0
"1942","Light rigid trucks","Diesel",0
"1943","Light rigid trucks","Diesel",0
"1944","Light rigid trucks","Diesel",0
"1945","Light rigid trucks","Diesel",0
"1946","Light rigid trucks","Diesel",0
"1947","Light rigid trucks","Diesel",0
"1948","Light rigid trucks","Diesel",0
"1949","Light rigid trucks","Diesel",0
"1950","Light rigid trucks","Diesel",0
"1951","Light rigid trucks","Diesel",0
"1952","Light rigid trucks","Diesel",0
"1953","Light rigid trucks","Diesel",0
"1954","Light rigid trucks","Diesel",0
"1955","Light rigid trucks","Diesel",0
"1956","Light rigid trucks","Diesel",3
"1957","Light rigid trucks","Diesel",0
"1958","Light rigid trucks","Diesel",3
"1959","Light rigid trucks","Diesel",3
"1960","Light rigid trucks","Diesel",0
"1961","Light rigid trucks","Diesel",3
"1962","Light rigid trucks","Diesel",0
"1963","Light rigid trucks","Diesel",0
"1964","Light rigid trucks","Diesel",0
"1965","Light rigid trucks","Diesel",3
"1966","Light rigid trucks","Diesel",3
"1967","Light rigid trucks","Diesel",0
"1968","Light rigid trucks","Diesel",3
"1969","Light rigid trucks","Diesel",0
"1970","Light rigid trucks","Diesel",6
"1971","Light rigid trucks","Diesel",5
"1972","Light rigid trucks","Diesel",4
"1973","Light rigid trucks","Diesel",5
"1974","Light rigid trucks","Diesel",6
"1975","Light rigid trucks","Diesel",3
"1976","Light rigid trucks","Diesel",18
"1977","Light rigid trucks","Diesel",9
"1978","Light rigid trucks","Diesel",9
"1979","Light rigid trucks","Diesel",15
"1980","Light rigid trucks","Diesel",42
"1981","Light rigid trucks","Diesel",64
"1982","Light rigid trucks","Diesel",53
"1983","Light rigid trucks","Diesel",60
"1984","Light rigid trucks","Diesel",117
"1985","Light rigid trucks","Diesel",301
"1986","Light rigid trucks","Diesel",250
"1987","Light rigid trucks","Diesel",313
"1988","Light rigid trucks","Diesel",604
"1989","Light rigid trucks","Diesel",702
"1990","Light rigid trucks","Diesel",706
"1991","Light rigid trucks","Diesel",475
"1992","Light rigid trucks","Diesel",624
"1993","Light rigid trucks","Diesel",706
"1994","Light rigid trucks","Diesel",918
"1995","Light rigid trucks","Diesel",1042
"1996","Light rigid trucks","Diesel",951
"1997","Light rigid trucks","Diesel",1119
"1998","Light rigid trucks","Diesel",1560
"1999","Light rigid trucks","Diesel",2014
"2000","Light rigid trucks","Diesel",2067
"2001","Light rigid trucks","Diesel",2486
"2002","Light rigid trucks","Diesel",4460
"2003","Light rigid trucks","Diesel",2945
"2004","Light rigid trucks","Diesel",5112
"2005","Light rigid trucks","Diesel",6189
"2006","Light rigid trucks","Diesel",4902
"2007","Light rigid trucks","Diesel",6269
"2008","Light rigid trucks","Diesel",6620
"2009","Light rigid trucks","Diesel",5022
"2010","Light rigid trucks","Diesel",7111
"2011","Light rigid trucks","Diesel",4515
"2012","Light rigid trucks","Diesel",5583
"2013","Light rigid trucks","Diesel",6210
"2014","Light rigid trucks","Diesel",7558
"2015","Light rigid trucks","Diesel",9428
"2016","Light rigid trucks","Diesel",10255
"2017","Light rigid trucks","Diesel",11345
"2018","Light rigid trucks","Diesel",12525
"2019","Light rigid trucks","Diesel",10646
"2020","Light rigid trucks","Diesel",10886
"2021","Light rigid trucks","Diesel",18671
"2022","Light rigid trucks","Diesel",26732
"2023","Light rigid trucks","Diesel",34105
"2024","Light rigid trucks","Diesel",20830
"2025","Light rigid trucks","Diesel",105
"Not stated","Light rigid trucks","Diesel",0
"1901","Light rigid trucks","Dual fuel",0
"1902","Light rigid trucks","Dual fuel",0
"1903","Light rigid trucks","Dual fuel",0
"1904","Light rigid trucks","Dual fuel",0
"1905","Light rigid trucks","Dual fuel",0
"1906","Light rigid trucks","Dual fuel",0
"1907","Light rigid trucks","Dual fuel",0
"1908","Light rigid trucks","Dual fuel",0
"1909","Light rigid trucks","Dual fuel",0
"1910","Light rigid trucks","Dual fuel",0
"1911","Light rigid trucks","Dual fuel",0
"1912","Light rigid trucks","Dual fuel",0
"1913","Light rigid trucks","Dual fuel",0
"1914","Light rigid trucks","Dual fuel",0
"1915","Light rigid trucks","Dual fuel",0
"1916","Light rigid trucks","Dual fuel",0
"1917","Light rigid trucks","Dual fuel",0
"1918","Light rigid trucks","Dual fuel",0
"1919","Light rigid trucks","Dual fuel",0
"1920","Light rigid trucks","Dual fuel",0
"1921","Light rigid trucks","Dual fuel",0
"1922","Light rigid trucks","Dual fuel",0
"1923","Light rigid trucks","Dual fuel",0
"1924","Light rigid trucks","Dual fuel",0
"1925","Light rigid trucks","Dual fuel",0
"1926","Light rigid trucks","Dual fuel",0
"1927","Light rigid trucks","Dual fuel",0
"1928","Light rigid trucks","Dual fuel",0
"1929","Light rigid trucks","Dual fuel",0
"1930","Light rigid trucks","Dual fuel",0
"1931","Light rigid trucks","Dual fuel",0
"1932","Light rigid trucks","Dual fuel",0
"1933","Light rigid trucks","Dual fuel",0
"1934","Light rigid trucks","Dual fuel",0
"1935","Light rigid trucks","Dual fuel",0
"1936","Light rigid trucks","Dual fuel",0
"1937","Light rigid trucks","Dual fuel",0
"1938","Light rigid trucks","Dual fuel",0
"1939","Light rigid trucks","Dual fuel",0
"1940","Light rigid trucks","Dual fuel",0
"1941","Light rigid trucks","Dual fuel",0
"1942","Light rigid trucks","Dual fuel",0
"1943","Light rigid trucks","Dual fuel",0
"1944","Light rigid trucks","Dual fuel",0
"1945","Light rigid trucks","Dual fuel",0
"1946","Light rigid trucks","Dual fuel",0
"1947","Light rigid trucks","Dual fuel",0
"1948","Light rigid trucks","Dual fuel",0
"1949","Light rigid trucks","Dual fuel",0
"1950","Light rigid trucks","Dual fuel",0
"1951","Light rigid trucks","Dual fuel",0
"1952","Light rigid trucks","Dual fuel",0
"1953","Light rigid trucks","Dual fuel",0
"1954","Light rigid trucks","Dual fuel",0
"1955","Light rigid trucks","Dual fuel",0
"1956","Light rigid trucks","Dual fuel",0
"1957","Light rigid trucks","Dual fuel",0
"1958","Light rigid trucks","Dual fuel",0
"1959","Light rigid trucks","Dual fuel",0
"1960","Light rigid trucks","Dual fuel",0
"1961","Light rigid trucks","Dual fuel",0
"1962","Light rigid trucks","Dual fuel",0
"1963","Light rigid trucks","Dual fuel",0
"1964","Light rigid trucks","Dual fuel",3
"1965","Light rigid trucks","Dual fuel",0
"1966","Light rigid trucks","Dual fuel",0
"1967","Light rigid trucks","Dual fuel",0
"1968","Light rigid trucks","Dual fuel",4
"1969","Light rigid trucks","Dual fuel",0
"1970","Light rigid trucks","Dual fuel",0
"1971","Light rigid trucks","Dual fuel",3
"1972","Light rigid trucks","Dual fuel",5
"1973","Light rigid trucks","Dual fuel",3
"1974","Light rigid trucks","Dual fuel",9
"1975","Light rigid trucks","Dual fuel",19
"1976","Light rigid trucks","Dual fuel",10
"1977","Light rigid trucks","Dual fuel",23
"1978","Light rigid trucks","Dual fuel",28
"1979","Light rigid trucks","Dual fuel",22
"1980","Light rigid trucks","Dual fuel",16
"1981","Light rigid trucks","Dual fuel",12
"1982","Light rigid trucks","Dual fuel",23
"1983","Light rigid trucks","Dual fuel",7
"1984","Light rigid trucks","Dual fuel",12
"1985","Light rigid trucks","Dual fuel",9
"1986","Light rigid trucks","Dual fuel",9
"1987","Light rigid trucks","Dual fuel",9
"1988","Light rigid trucks","Dual fuel",10
"1989","Light rigid trucks","Dual fuel",9
"1990","Light rigid trucks","Dual fuel",7
"1991","Light rigid trucks","Dual fuel",11
"1992","Light rigid trucks","Dual fuel",7
"1993","Light rigid trucks","Dual fuel",6
"1994","Light rigid trucks","Dual fuel",3
"1995","Light rigid trucks","Dual fuel",0
"1996","Light rigid trucks","Dual fuel",6
"1997","Light rigid trucks","Dual fuel",10
"1998","Light rigid trucks","Dual fuel",4
"1999","Light rigid trucks","Dual fuel",5
"2000","Light rigid trucks","Dual fuel",0
"2001","Light rigid trucks","Dual fuel",30
"2002","Light rigid trucks","Dual fuel",50
"2003","Light rigid trucks","Dual fuel",29
"2004","Light rigid trucks","Dual fuel",35
"2005","Light rigid trucks","Dual fuel",32
"2006","Light rigid trucks","Dual fuel",40
"2007","Light rigid trucks","Dual fuel",12
"2008","Light rigid trucks","Dual fuel",12
"2009","Light rigid trucks","Dual fuel",6
"2010","Light rigid trucks","Dual fuel",4
"2011","Light rigid trucks","Dual fuel",5
"2012","Light rigid trucks","Dual fuel",5
"2013","Light rigid trucks","Dual fuel",3
"2014","Light rigid trucks","Dual fuel",7
"2015","Light rigid trucks","Dual fuel",3
"2016","Light rigid trucks","Dual fuel",5
"2017","Light rigid trucks","Dual fuel",8
"2018","Light rigid trucks","Dual fuel",9
"2019","Light rigid trucks","Dual fuel",6
"2020","Light rigid trucks","Dual fuel",3
"2021","Light rigid trucks","Dual fuel",6
"2022","Light rigid trucks","Dual fuel",3
"2023","Light rigid trucks","Dual fuel",24
"2024","Light rigid trucks","Dual fuel",11
"2025","Light rigid trucks","Dual fuel",0
"Not stated","Light rigid trucks","Dual fuel",0
"1901","Light rigid trucks","Hybrid electric",0
"1902","Light rigid trucks","Hybrid electric",0
"1903","Light rigid trucks","Hybrid electric",0
"1904","Light rigid trucks","Hybrid electric",0
"1905","Light rigid trucks","Hybrid electric",0
"1906","Light rigid trucks","Hybrid electric",0
"1907","Light rigid trucks","Hybrid electric",0
"1908","Light rigid trucks","Hybrid electric",0
"1909","Light rigid trucks","Hybrid electric",0
"1910","Light rigid trucks","Hybrid electric",0
"1911","Light rigid trucks","Hybrid electric",0
"1912","Light rigid trucks","Hybrid electric",0
"1913","Light rigid trucks","Hybrid electric",0
"1914","Light rigid trucks","Hybrid electric",0
"1915","Light rigid trucks","Hybrid electric",0
"1916","Light rigid trucks","Hybrid electric",0
"1917","Light rigid trucks","Hybrid electric",0
"1918","Light rigid trucks","Hybrid electric",0
"1919","Light rigid trucks","Hybrid electric",0
"1920","Light rigid trucks","Hybrid electric",0
"1921","Light rigid trucks","Hybrid electric",0
"1922","Light rigid trucks","Hybrid electric",0
"1923","Light rigid trucks","Hybrid electric",0
"1924","Light rigid trucks","Hybrid electric",0
"1925","Light rigid trucks","Hybrid electric",0
"1926","Light rigid trucks","Hybrid electric",0
"1927","Light rigid trucks","Hybrid electric",0
"1928","Light rigid trucks","Hybrid electric",0
"1929","Light rigid trucks","Hybrid electric",0
"1930","Light rigid trucks","Hybrid electric",0
"1931","Light rigid trucks","Hybrid electric",0
"1932","Light rigid trucks","Hybrid electric",0
"1933","Light rigid trucks","Hybrid electric",0
"1934","Light rigid trucks","Hybrid electric",0
"1935","Light rigid trucks","Hybrid electric",0
"1936","Light rigid trucks","Hybrid electric",0
"1937","Light rigid trucks","Hybrid electric",0
"1938","Light rigid trucks","Hybrid electric",0
"1939","Light rigid trucks","Hybrid electric",0
"1940","Light rigid trucks","Hybrid electric",0
"1941","Light rigid trucks","Hybrid electric",0
"1942","Light rigid trucks","Hybrid electric",0
"1943","Light rigid trucks","Hybrid electric",0
"1944","Light rigid trucks","Hybrid electric",0
"1945","Light rigid trucks","Hybrid electric",0
"1946","Light rigid trucks","Hybrid electric",0
"1947","Light rigid trucks","Hybrid electric",0
"1948","Light rigid trucks","Hybrid electric",0
"1949","Light rigid trucks","Hybrid electric",0
"1950","Light rigid trucks","Hybrid electric",0
"1951","Light rigid trucks","Hybrid electric",0
"1952","Light rigid trucks","Hybrid electric",0
"1953","Light rigid trucks","Hybrid electric",0
"1954","Light rigid trucks","Hybrid electric",0
"1955","Light rigid trucks","Hybrid electric",0
